index,ref,jp_content,jp_hint,ch_content
004,#0L4,「*何(なに)か**面白(おもしろ)い**事(こと)*はありましたか？」と*聞(き)かれ*ましたので、*広島大学(ひろしまだいがく)*の*研修(けんしゅう)*について*話(はな)し*たいと*思(おも)い*ます。,～と*聞(き)かれ*ましたので、～。,因為被問到「有沒有什麼有趣的事情呢？」，所以我想說些關於廣島大學研修的事情。
005,#0L8,日本(にほん)*の*学生(がくせい)*と*一緒(いっしょ)*に、*台湾(たいわん)*と*日本(にほん)*のお*互(たが)*い*違(ちが)う**文化(ぶんか)*の*交流(こうりゅう)*をしました。,～お*互(たが)*い*違(ちが)う*～をしました。,和日本的學生一起進行了台灣和日本彼此不同文化的交流。
006,#0L11,*研修(けんしゅう)*は*教室(きょうしつ)*で*学(まな)ぶ**事(こと)*だけではなく、*見学(けんがく)*のために、*多(おお)く*の*観光名所(かんこうめいしょ)*にも*行(い)き*ました。,～だけではなく、～ために、～。,研修並不是只有在教室學習，為了參觀學習也去了很多觀光景點。
007,#0L13,京都研修(きょうとけんしゅう)*で、*清水寺(きよみずでら)*や*金閣寺(きんかくじ)*などに*行(い)*けて、*良(よ)かった*と*思(おも)い*ます。,～や～などに*行(い)*けて、～。,在京都的研修，覺得能夠去到清水寺和金閣寺（等等）很棒。
008,#0L14,二週間(にしゅうかん)*は*短(みじか)くて*、*時間(じかん)*が*過(す)ぎる*のが*早(はや)かった*ですが、*多(おお)く*の*日本文化(にほんぶんか)*を*習(なら)って*、*沢山(たくさん)*の*友達(ともだち)*ができて、いい*思(おも)い**出(で)*がいっぱいです。,～がいっぱいです。,雖然兩個禮拜很短，時間過得很快，但學習到很多日本文化、結交到許多朋友，充滿了美好回憶。
009,#1L2,*一体(いったい)**何(なに)*をテーマにしたら*良(よ)い*のかずっと*考(かんが)えて*いました。,～したら*良(よ)い*のか～。,不停地在思考究竟以什麼做為主題才好。（過去式）
010,#1L7,*多数(たすう)*のけん*玉(だま)*を*学校(がっこう)*に*寄付(きふ)し*、*小学校(しょうがっこう)*でイベントを*行(おこな)って**子供(こども)*に*紹介(しょうかい)したり*、けん*玉(だま)*の*試合(しあい)*を*行(おこな)ったり*しました。,～し、～たり、～たりしました。,捐贈大量的劍玉給學校，並在小學舉辦活動向小孩介紹、舉辦了劍玉比賽等等。
011,#1L9,*閉鎖(へいさ)*の*危機(きき)*に*直面(ちょくめん)し*ました。,～に*直面(ちょくめん)し*ました。,（工廠）面臨了關閉的危機。
012,#1L10,*予想以上(よそういじょう)*の*金(かね)*がかかりましたので、*工場(こうじょう)*の*運営(うんえい)*はもう*続(つづ)けられ*ませんでした。,～*予想以上(よそういじょう)*～ので、～。,因為比想像中來得花錢，工廠已經無法繼續經營了。
013,#1L11,*幸(さいわ)い*、*全国各地(ぜんこくかくち)*から*集(あつ)まる**寄付金(きふきん)*のおかげで、*今(いま)*、*工場(こうじょう)*はまだ*続(つづ)いて*います。,*幸(さいわ)い*、～のおかげで、～。,幸好因為全國各地聚集的捐款的幫助，現在工廠仍存續中。
014,,*沢山(たくさん)*の*人(ひと)*にけん*玉(だま)*のよさを*知(し)って*もらうために、*私(わたし)*はイベントのお*手伝(てつだ)い*をしようと*思(おも)い*ます。,～に～を*知(し)って*もらうために、～しようと*思(おも)い*ます。,為了讓眾人知道劍玉的好處，我打算參與活動的協助。
