index,ref,jp_content,jp_hint,ch_content
131,#24L6,*実際(じっさい)*に*読(よ)んで*みたら、この*本(ほん)*は*将棋(しょうぎ)*に*自分(じぶん)*のすべてを*捧(ささ)げる**少年少女(しょうねんしょうじょ)*の*物語(ものがたり)*と*気(き)づき*ました。,～、～*捧(ささ)げる*～。,實際看了之後，才發現這本書是（描寫）將自身一切奉獻給將棋的少年少女的故事。
132,#24L8,*彼(かれ)*は*心構(こころがま)*えが*足(た)り*なくて、「*竜王(りゅうおう)*」という*重(おも)さ*に*圧迫(あっぱく)*されて、*連戦連敗(れんせんれんぱい)して*、*今(いま)や**心(こころ)*が*押(おし)しつぶさ*れてしまうところでした。,（這題直接看參考解答比較快XD）,由於心理建設不足，在名為「龍王」的重擔壓迫之下，他連戰連敗，眼看內心就要崩潰了。
133,#24L9,こんな*羽目(はめ)*に*陥(おちい)った**彼(かれ)*を*救(すく)い**出(だ)す**少女(しょうじょ)*が*現(あらわ)れ*ました。,～*羽目(はめ)*に*陥(おちい)った*～。,出現了一名拯救他於如此絕境的少女。
134,#24L11,*熱意(ねつい)*を*持(も)つ**少女(しょうじょ)*がついに*一人(ひとり)*で*少年(しょうねん)*の*家(いえ)*へ*辿(たど)り**着(つ)き*ました。,～*辿(たど)り**着(つ)き*ました。,懷抱熱情的少女終於一個人歷盡艱辛抵達少年的家。
135,#24L17,*将棋(しょうぎ)*が*分(わ)から*なくてもこの*本(ほん)*の*面白(おもしろ)さ*を*十分(じゅうぶん)に**楽(たの)しむ*ことができます。,（這題很簡單啦啦啦）,不懂將棋的人也能充分享受這本書的樂趣。
136,#25L8,*形式(けいしき)*にこだわらず*作品(さくひん)*を*作(つく)る*ことです。,～こだわらず～。,不拘泥形式地創作作品。（名詞化）
137,#25L11,*私(わたし)*ぐらいの*初心者(しょしんしゃ)*でも*自分(じぶん)*の*本(ほん)*を*作(つく)れる*とは*思(おも)って*いませんでした。,～ぐらい～とは*思(おも)って*いませんでした。,從來沒想過像我這種入門者也能創作自己的本本。（過去式）
138,#25L14,*私(わたし)たち*が*心(こころ)*を*込(こ)めて**精一杯(せいいっぱい)**作(つく)った**物語(ものがたり)*を*読(よ)んで*いただく*読者(どくしゃ)*にどんな*反応(はんのう)*がいただけるかを*考(かんが)え*ただけで、どんなに*疲(つか)れて*いても*頑張(がんば)って**書(か)き**続(つづ)け*られました。,（這題直接看參考解答比較快XD）,光是想到會從閱讀我們嘔心瀝血創作的故事的那些讀者得到怎樣的反應，就算再累也能夠加把勁繼續寫下去。（過去式）
139,#25L15,*妄想力(もうそうりょく)*に*富(と)んだ**良(よ)い**文章(ぶんしょう)*に*加(くわ)えて*、きっとオリジナルの*物語(ものがたり)*を*超(こ)えて*、*完璧(かんぺき)な**作品(さくひん)*ができていたかもしれません。,～に*加(くわ)えて*、～かもしれません。,（如果自己會畫畫的話，）再加上富有幻想色彩的優美文章，肯定已經完成了超越原作故事的完美作品也說不定。
140,#26L3,*多(おお)く*の*大学生(だいがくせい)*はお*小遣(こづか)い*を*稼(かせ)ぐ*ために、*家庭教師(かていきょうし)*をしたり、コンビニでアルバイトをしたりします。,～ために、～たり、～たりします。,很多大學生為了賺零用錢，會接家教或打工等等。
141,#26L6,お*客(きゃく)*さんに*個展(こてん)*を*案内(あんない)*する*時(とき)*、もっと*流暢(りゅうちょう)*に*紹介(しょうかい)*できるように、できるだけ*画家(がか)*の*方(かた)*と*交流(こうりゅう)し*、*絵(え)*について*学(まな)んで*います。,（這題直接看參考解答比較快XD）,向顧客導覽個展的時候，為了能夠更流暢地介紹，會儘量和畫家交流，學習有關畫的事情。
142,#26L9,*飲(の)み**物(もの)*を*作(つく)る*のに*加(くわ)えて*、*様々(さまざま)な**人(ひと)*と*接(せっ)する*ことができます。,～に*加(くわ)えて*、～。,除了調製飲料以外，也能夠接觸各式各樣的人。
143,#26L10,もし*皆(みな)*さんがゆったりとした*午後(ごご)*が*欲(ほ)しけ*れば、ぜひ、*私(わたし)*がアルバイトしている*喫茶店(きっさてん)*へ*来(き)て*ください。,～ゆったりとした～、ぜひ、～。,如果大家想要一段愜意的午後時光，請務必來我在打工的咖啡廳。
