index,ref,jp_content,jp_hint,ch_content
015,#2L4,プレイヤーは*自分(じぶん)*の*家(いえ)*の*庭先(にわさき)*に*餌(えさ)*とおもちゃとグッズを*置(お)いて*、*猫(ねこ)*が*来(く)る*のを*待(ま)ち*ます。,プレイヤーは～、～のを～。,玩家在自己家的庭院放置飼料和玩具，等待貓咪到來。
016,#2L8,どんな*猫(ねこ)*が*現(あらわ)れる*か*楽(たの)しみ*にしているだけで、*忙(いそが)しい**日々(ひび)*の*生活(せいかつ)*の*中(なか)*でも、*心(こころ)*が*癒(い)やされ*ます。,どんな～か～だけで、～。,即便處於每天都很忙的生活，光是期待著會出現怎樣的貓，心靈就獲得治癒。
017,#3L3,NHKの*放送(ほうそう)*90*年(ねん)*を*記念(きねん)する*ために、「アジア*巨大(きょだい)**遺跡(いせき)*」と*題(だい)して*、*秦(しん)*の*歴史(れきし)*の*謎(なぞ)*を*明(あ)かす**番組(ばんぐみ)*です。,～ために、～と*題(だい)して*、～*謎(なぞ)*を*明(あ)かす*～。,這是為了記念NHK播出90年，以「亞洲巨大遺跡」為題，解開秦的歷史之謎的節目。
018,#3L5,ご*存知(ぞんじ)*でしょうか。,（アップル表示：下次我會特別考你這句～）,（您/各位）是否知道呢？
019,#3L7,*どうしてこんなに*広大(こうだい)な**中国(ちゅうごく)*を*一(ひと)つ*に*束(たば)ねられる*のですか。,～*束(たば)ねられる*のですか。,為何能夠將如此廣大的中國整頓為一體呢？
020,#3L10,「*中央集権化(ちゅうおうしゅうけんか)*」のおかげで、ばらばらだった*地域(ちいき)*を*管理(かんり)する*ことが*可能(かのう)*になりました。,～のおかげで、～*可能(かのう)*になりました。,託「中央集權化」之福，管理散亂的地區變得可行。
021,,*体(からだ)*の*調子(ちょうし)*を*崩(くず)して*しまいました。,～を*崩(くず)して*～。,把身體弄垮了。
022,,どのように*過(す)ごし*ましたか。,どのように～か。,（假期）如何渡過的呢？
023,,- ずっと*野球(やきゅう)*をしている*訳(わけ)*じゃありません。<br>- ずっとじゃなくて、*一回(いっかい)*しかありませんでした。,- ～*訳(わけ)*じゃありません。<br>- ～しかありませんでした。,- 並不是一直在打棒球。<br>- 並不是一直（在打棒球），只有一次而已。（過去式）
024,,- とんでもない*騒(さわ)ぎ*を*起(お)こし*ました。<br>- とんでもない*騒(さわ)ぎ*が*起(お)こり*ました。,- ～*起(お)こし*ました。<br>- ～*起(お)こり*ました。,- 引起了非同小可的騷動。<br>- 發生了非同小可的騷動。
025,,- *共通(きょうつう)*の*友達(ともだち)*がいて、その*人(ひと)*の*紹介(しょうかい)*で*知(し)り**合(あ)い*ました。<br>- *共通(きょうつう)*の*友達(ともだち)*を*通(とお)して*、*知(し)り**合(あ)い*ました。,- *共通(きょうつう)*～。<br>- ～を*通(とお)して*、～。,- 因為有共同的朋友，藉由那個人的介紹而認識了。<br>- 透過共同的朋友而認識了。
026,,*共通(きょうつう)*の*授業(じゅぎょう)*があって、その*授業(じゅぎょう)*で*知(し)り**合(あ)い*ました。,*共通(きょうつう)*～。,因為有共同的課，在那門課認識了。
027,,ご*返事(へんじ)*をお*待(ま)ち*しております。,（アップル表示：下次我會特別考你這句～）,靜候您的回覆。
028,,コンタクトを*付(つ)ける*のを*忘(わす)れ*ました。,～のを*忘(わす)れ*ました。,忘了戴隱形眼鏡。
029,,*目覚(めざ)まし**時計(どけい)*をセットするのを*忘(わす)れ*ました。,～のを*忘(わす)れ*ました。,忘了設定鬧鐘。
030,,*予約(よやく)した*ケーキを*取(と)り*に*行(い)く*のを*忘(わす)れ*ました。,～のを*忘(わす)れ*ました。,忘了去拿預訂的蛋糕。
031,,*取(と)り**寄(よ)せて*もらった*靴(くつ)*を*取(と)り*に*行(い)く*のを*忘(わす)れ*ました。,～のを*忘(わす)れ*ました。,忘了去取（店家）幫我調貨的鞋子。
032,,- *井上(いのうえ)*さんとの*再会(さいかい)*を*楽(たの)しみ*にしています。<br>- また*会(あ)える*のを*楽(たの)しみ*にしています。<br>- また*会(あ)う**日(ひ)*を*楽(たの)しみ*にしています。,- ～*再会(さいかい)*を～。<br>- また*会(あ)える～。- また*会(あ)う**日(ひ)*を～。,- 期待和井上先生/小姐的重逢。<br>- 期待能再次見面。<br>- 期待重逢之日。
033,,どんなアイスクリームがあるか*考(かんが)える*だけで、わくわくします。,どんな～か～だけで、～。,光是想到會有怎樣的冰淇淋就很興奮。
034,,どんな*料理(りょうり)*が*出(で)る*か*期待(きたい)して*いるだけで、わくわくしてきます。,どんな～か～だけで、～。,光是期待會出現怎樣的料理就興奮了起來。
035,,この*靴(くつ)*は*出(で)ている*だけですか。また*入(はい)り*ますか。,～*出(で)ている*～。～。,這款鞋子只有架上擺的嗎？還會再進貨嗎？
036,,- *運動(うんどう)*を*通(とお)して*、ストレスを*発散(はっさん)し*ました。<br>- *運動(うんどう)*を*通(とお)して*、ストレスが*軽減(けいげん)され*ました。,- ～を*通(とお)して*、～*発散(はっさん)*～。<br>- ～を*通(とお)して*、～*軽減(けいげん)*～。,- 透過運動排解了壓力。<br>- 透過運動，壓力獲得減輕。
