index,ref,jp_content,jp_hint,ch_content
045,#6L3,*好(この)み*は*年齢(ねんれい)*を*重(かさ)ねる*につれて*変(か)わって*いってますが、*昔(むかし)*からずっと*気(き)*に*入(い)って*いて、*好(す)きな**気持(きもち)*が*変(か)わら*ない*歌手(かしゅ)*が*一人(ひとり)*います。,～につれて～、～*気(き)*に*入(い)って*いて、～。,雖然喜好會隨著年紀增長而改變，不過有一位歌手我從以前就一直很喜歡，喜歡的感覺至今不變。
046,#6L6,*音楽(おんがく)*に*没頭(ぼっとう)する**日々(ひび)*を*送(おく)って*いました。,～に*没頭(ぼっとう)する*～。,過著埋首於音樂的每一天。（過去式）
047,#6L8,*毎日(まいにち)**家(いえ)*で*繰(く)り**返(かえ)して**聴(き)い*ていました。,～*繰(く)り**返(かえ)して*～。,每天在家裡反覆地聽著。（過去式）
048,#6L9,ジェイの*音楽(おんがく)*は*独創性(どくそうせい)*が*溢(あふ)れて*いて、*毎回(まいかい)*の*新作(しんさく)*はファンを*必(かなら)ず**驚(おどろ)かせ*ます。,～*溢(あふ)れて*いて、～。,JAY的音樂總是充滿著獨創性，每次的新作品必定會讓粉絲感到驚艷。
049,#6L12,そのアルバムを*聴(き)く*たびに、*子供時代(こどもじだい)*のことを*思(おも)い**浮(う)かべ*ます。,～たびに、～*思(おも)い**浮(う)かべ*ます。,每次聽這張專輯就會回想起小時候的事情。
050,#7L3,なぜこんなふうに*言(い)って*るかというと*続(つづ)いて**説明(せつめい)*いたします。,～ふうに～。,為什麼這樣說呢？接下來會（跟大家）說明。
051,#7L8,*荷物(にもつ)*が*多(おお)*すぎたので、*電車(でんしゃ)*に*乗(の)って*、すぐにパスポートとお*金(かね)*を*入(い)れて*おいた*赤(あか)い*かばんを*網棚(あみだな)*に*載(の)せて*おきました。,～ておきました。,行李太多了，因此搭上電車就馬上先把護照和裝有財物的紅色包包放到置物架上。
052,#7L10,*京都駅(きょうとえき)*を*出(で)た**瞬間(しゅんかん)*、かばんを*持(も)って*いないことに*気(き)づき*ました。,～に*気(き)づき*ました。,走出京都車站的剎那，意識到了包包不在手上。
053,#7L12,*夜(よる)*10*時(じ)**過(す)ぎ*に*来(く)る*ように*言(い)われ*ました。,～ように～。,被告知晚上十點之後過來（車站）。
054,#7L14,そして、この*予想外(よそうがい)*の*事故(じこ)*が*起(お)きた*ことを*記念(きねん)*に、*京都駅(きょうとえき)**前(まえ)*でかばんの*写真(しゃしん)*を*撮(と)り*ました。,～を*記念(きねん)*に、～。,然後，將這個意想不到的事故留作紀念，在京都車站前拍下了包包的照片。
055,#8L3,どうしてそうなったのか、それを*今回(こんかい)*お*話(はな)し*したいと*思(おも)い*ます。,（這題很簡單啦啦啦）,為什麼會變成那樣呢？這次想（跟大家）談談。
056,#8L10,*二日目(ふつかめ)*は*両親(りょうしん)*がいない*時(とき)*、*急(きゅう)に**私(わたし)*に*向(む)かって**吠(ほ)えて*きました。,～に*向(む)かって*～。,第二天爸媽不在的時候，突然向我吠了起來。
057,#8L11,*竿(さお)*を*持(も)って**振(ふ)れば**振(ふ)る*ほど*犬(いぬ)*がさらに*近(ちか)づいて**来(き)*ました。,～ば～ほど～。,愈拿竿子揮，狗愈是靠了過來。
058,,*居(い)て*も*立(た)って*も*居(い)られ*ない。,～ても～ても～。,坐立不安。
059,,- *犬(いぬ)*が*怖(こわ)い*って*皆(みんな)**知(し)って*いますか。<br>- *犬(いぬ)*が*怖(こわ)い*ということを*皆(みんな)*（に）*知(し)られ*ますか。,- ～って～*知(し)って*いますか。<br>- ～ということを～*知(し)られ*ますか。,- 大家知道你怕狗嗎？<br>- 你怕狗這件事有被大家知道嗎？
060,,*追(お)いかけられ*てしまう*恐(おそ)れ*がある。,～*恐(おそ)れ*がある。,恐怕會被追著跑。
061,,- お*嫌(いや)*じゃなかったら、～。<br>- お*嫌(いや)*じゃなければ、～。<br>- ご*都合(つごう)*がつけば、～。,- お*嫌(いや)*～、～。<br>- ご*都合(つごう)*が～、～。,若您不嫌棄的話，～。
