index,ref,jp_content,jp_hint,ch_content
117,#22L5,*高橋(たかはし)*みなみさんは*小(ちい)さい**頃(ころ)*から*歌手(かしゅ)*を*目指(めざ)して*いましたが、*夢(ゆめ)*を*叶(かな)える*までは*決(けっ)して**順風満帆(じゅんぷうまんぱん)*ではなく、*様々(さまざま)な*オーディションに7*回(かい)*も*落選(らくせん)し*ました。,～*目指(めざ)して*いましたが、～*順風満帆(じゅんぷうまんぱん)*～、～。,高橋南從小就立志成為歌手，然而圓夢過程絕非一帆風順，在各種徵選活動中一共落選了7次之多。
118,#22L6,*崖(がけ)っぷち**状態(じょうたい)*で、*中学(ちゅうがく)**二年(にねん)*、*最後(さいご)*の*挑戦(ちょうせん)*のつもりで*受(う)けた*のがAKB48のオープニングオーディション。,*崖(がけ)っぷち**状態(じょうたい)*で、～。,在瀕臨放棄的狀態下，國中二年級時，打算作為最後一次挑戰而參加的是AKB48的始動徵選。
119,#22L8,センターに*抜擢(ばってき)*されたとしても、ダンスができず*落(お)ちこぼれ*だった*,～たとしても、～*落(お)ちこぼれ*だった*。,即使被拔擢為 center （註：舞蹈站位正中央的成員），但不會跳舞，是個吊車尾（的成員）。
120,#22L9,*特別(とくべつ)*かわいいわけでも、とびきり*歌(うた)*がうまいわけでもない。,～わけでも、～わけでもない。,長得也不是特別可愛，歌唱也並非高人一等。
121,#22L10,*誰(だれ)か*が*彼女(かのじょ)*の*代(か)わり*を*務(つと)め*なければならない。,（這題直接看參考解答比較快XD）,必須有人接替她的角色才行。
122,#22L12,どんな*場所(ばしょ)*でも、どんな*状況(じょうきょう)*でも、*言葉(ことば)*を*発(はっ)する*ことができるようになっていきました。,（這題直接看參考解答比較快XD）,變得不論身處何處、面對何種場合都能發表談話。
123,#22L13,まさに*彼女(かのじょ)*のそういうところが*一番(いちばん)**尊敬(そんけい)して*いるところです。,まさに～。,這正是我最尊敬她的地方。
124,#22L14,*夢(ゆめ)*を*叶(かな)える*ためには、*資質(ししつ)*とか*才能(さいのう)*とかそれ*以前(いぜん)*に、*一歩(いっぽ)**踏(ふ)み**出(だ)せる*かどうかということが*一番(いちばん)**大事(だいじ)*だと*彼女(かのじょ)*が*教(おし)えて*くれました。,（這題直接看參考解答比較快XD）,她讓我明白為了實現夢想，比起先去考慮自己有沒有資質或才能，能不能夠跨出那一步才是最重要的。
125,#21L4,いろいろな*大(おお)きな*ごみを*発見(はっけん)し*ました、*石(いし)*のような*発泡(はっぽう)スチロール*とか、*漁網(ぎょもう)*とか。,～*発泡(はっぽう)スチロール*～。,發現了各種大型垃圾，像是宛若石頭的保麗龍，還有漁網等等。
126,#21L7,*自分(じぶん)*のごみの*分量(ぶんりょう)*を*減(へ)らす*ように*試(こころ)みて*います。,～ように～ています。,正嘗試減少自己的垃圾量中。
127,#21L8,*地球(ちきゅう)*を*守(まも)る*ために、*毎日(まいにち)**自分(じぶん)*の*食器(しょっき)*と*水筒(すいとう)*を*持(も)って*います。,～ために、～*食器(しょっき)*と*水筒(すいとう)*を～。,為了愛護地球，我每天都會攜帶自己的餐具和水壺。
128,#23L5,アニメではしばしばキャラクターボイス、*略(りゃく)して*CVと*言(い)い*ます。,～しばしば～。,在動漫經常會把聲優略稱為CV。
129,#23L12,「ツンデレ」は*普段(ふだん)*ツンと*澄(す)ました**態度(たいど)*を*取(と)る*が、ある*条件下(じょうけんか)*では*特定(とくてい)*の*人物(じんぶつ)*に*対(たい)して*デレデレといちゃつきます。,（你是不是有強迫症XD…）,（這句頗難翻，哪位好心的大大願意貢獻一下翻譯Q_Q）
130,#23L13,*私(わたし)*にとって、*心(こころ)*の*栄養(えいよう)*と*言(い)って*も*過言(かごん)*ではありません。,～と*言(い)って*も*過言(かごん)*ではありません。,對我而言，說是心靈的養分也不為過。
